ligand,receptor,,,,,,,,,,,,,,,,,
GNAI2,EGFR,,,,,,,,,,,,,,,,,
GNAI2,F2R,,,,,,,,,,,,,,,,,
GNAI2,FPR1,,,,,,,,,,,,,,,,,
GNAI2,IGF1R,,,,,,,,,,,,,,,,,
GNAI2,LHCGR,,,,,,,,,,,,,,,,,
GNAI2,LPAR3,,,,,,,,,,,,,,,,,
GNAI2,MTNR1A,,,,,,,,,,,,,,,,,
GNAI2,MTNR1B,,,,,,,,,,,,,,,,,
GNAI2,OPRD1,,,,,,,,,,,,,,,,,
GNAI2,OPRM1,,,,,,,,,,,,,,,,,
GNAI2,P2RY12,,,,,,,,,,,,,,,,,
GNAI2,PTPRU,,,,,,,,,,,,,,,,,
GNAI2,S1PR1,,,,,,,,,,,,,,,,,
GNAI2,S1PR3,,,,,,,,,,,,,,,,,
GNAI2,S1PR4,,,,,,,,,,,,,,,,,
GNAI2,S1PR5,,,,,,,,,,,,,,,,,
GNAI2,TBXA2R,,,,,,,,,,,,,,,,,
GNAI2,TSHR,,,,,,,,,,,,,,,,,
GNAI2,UNC5B,,,,,,,,,,,,,,,,,
GNAS,ADCY1,,,,,,,,,,,,,,,,,
GNAS,ADCY7,,,,,,,,,,,,,,,,,
GNAS,ADCY8,,,,,,,,,,,,,,,,,
GNAS,ADCY9,,,,,,,,,,,,,,,,,
GNAS,ADORA1,,,,,,,,,,,,,,,,,
GNAS,ADRB3,,,,,,,,,,,,,,,,,
GNAS,AVPR2,,,,,,,,,,,,,,,,,
GNAS,CRHR1,,,,,,,,,,,,,,,,,
GNAS,GCGR,,,,,,,,,,,,,,,,,
GNAS,GLP1R,,,,,,,,,,,,,,,,,
GNAS,HTR6,,,,,,,,,,,,,,,,,
GNAS,LHCGR,,,,,,,,,,,,,,,,,
GNAS,PTGDR,,,,,,,,,,,,,,,,,
GNAS,PTGIR,,,,,,,,,,,,,,,,,
GNAS,TSHR,,,,,,,,,,,,,,,,,
GNAS,VIPR1,,,,,,,,,,,,,,,,,
GNB3,GABBR2,,,,,,,,,,,,,,,,,
GNB3,TGFBR1,,,,,,,,,,,,,,,,,
GNRH1,GNRHR,414473,17452338,11726197,17095587,9414473,,,,,,,,,,,,
GNRH2,GNRHR,19638591,,,,,,,,,,,,,,,,
GPC3,CD81,,,,,,,,,,,,,,,,,
GPC3,IGF1R,,,,,,,,,,,,,,,,,
GPC3,LRP1,,,,,,,,,,,,,,,,,
GPC3,LRP2,,,,,,,,,,,,,,,,,
GPC6,LRP1,,,,,,,,,,,,,,,,,
GPC6,LRP2,,,,,,,,,,,,,,,,,
GPHA2,TSHR,,,,,,,,,,,,,,,,,
GPI,AMFR,17,,,,,,,,,,,,,,,,
GREM1,KDR,,,,,,,,,,,,,,,,,
GRP,BRS3,,,,,,,,,,,,,,,,,
GRP,GRPR,1720612,7838118,10454496,19463875,7838118,,,,,,,,,,,,
GRP,NMBR,,,,,,,,,,,,,,,,,
GSTP1,TRAF2,,,,,,,,,,,,,,,,,
GUCA2A,GUCY2C,10601865,11889121,,,,,,,,,,,,,,,
GUCA2B,GUCY2C,,,,,,,,,,,,,,,,,
GUCA2B,GUCY2D,,,,,,,,,,,,,,,,,
GZMB,CHRM3,,,,,,,,,,,,,,,,,
GZMB,IGF2R,,,,,,,,,,,,,,,,,
GZMB,PGRMC1,,,,,,,,,,,,,,,,,
HAS2,CD44,,,,,,,,,,,,,,,,,
HAS2,HMMR,,,,,,,,,,,,,,,,,
HBEGF,CD44,,,,,,,,,,,,,,,,,
HBEGF,CD82,,,,,,,,,,,,,,,,,
HBEGF,CD9,11846885,8194524,,,,,,,,,,,,,,,
HBEGF,EGFR,fantom5,12725245,,,,,,,,,,,,,,,
HBEGF,ERBB2,,,,,,,,,,,,,,,,,
HBEGF,ERBB4,1840698,914,,,,,,,,,,,,,,,
HBEGF,PRLR,,,,,,,,,,,,,,,,,
HCRT,HCRTR1,9491897,10498827,14691055,11403934,12606634,11250867,12702704,11266181,11162621,12208495,18599270,21362456,,,,,
HCRT,HCRTR2,9491897,12702704,11162621,12208495,18599270,,,,,,,,,,,,
HCRT,NPFFR2,,,,,,,,,,,,,,,,,
HDC,HRH1,,,,,,,,,,,,,,,,,
HDC,HRH2,,,,,,,,,,,,,,,,,
HDC,HRH3,,,,,,,,,,,,,,,,,
HDC,HRH4,,,,,,,,,,,,,,,,,
HEBP1,ADRA2A,,,,,,,,,,,,,,,,,
HEBP1,FPR3,,,,,,,,,,,,,,,,,
HEBP1,GRM7,,,,,,,,,,,,,,,,,
HEBP1,MTNR1A,,,,,,,,,,,,,,,,,
HGF,CD44,,,,,,,,,,,,,,,,,
HGF,ITGB1,,,,,,,,,,,,,,,,,
HGF,MET,fantom5,1846706,1655405,15167892,18495663,,,,,,,,,,,,
HGF,SDC1,,,,,,,,,,,,,,,,,
HGF,SDC2,,,,,,,,,,,,,,,,,
HGF,ST14,,,,,,,,,,,,,,,,,
HHIPL2,CACHD1,,,,,,,,,,,,,,,,,
HHLA3,CHRM3,,,,,,,,,,,,,,,,,
HLA-A,APLP2,,,,,,,,,,,,,,,,,
HLA-A,CD3D,,,,,,,,,,,,,,,,,
HLA-A,CD3G,,,,,,,,,,,,,,,,,
HLA-A,ERBB2,,,,,,,,,,,,,,,,,
HLA-A,KIR2DL1,,,,,,,,,,,,,,,,,
HLA-A,KIR2DL3,,,,,,,,,,,,,,,,,
HLA-A,KIR3DL1,,,,,,,,,,,,,,,,,
HLA-A,KIR3DL2,8617928,8760804,,,,,,,,,,,,,,,
HLA-A,LILRB1,,,,,,,,,,,,,,,,,
HLA-A,LILRB2,,,,,,,,,,,,,,,,,
HLA-B,CANX,,,,,,,,,,,,,,,,,
HLA-B,CD3D,,,,,,,,,,,,,,,,,
HLA-B,CD3G,,,,,,,,,,,,,,,,,
HLA-B,KIR2DL3,,,,,,,,,,,,,,,,,
HLA-B,KIR3DL1,8,,,,,,,,,,,,,,,,
HLA-B,KLRD1,,,,,,,,,,,,,,,,,
HLA-B,LILRB1,,,,,,,,,,,,,,,,,
HLA-B,LILRB2,,,,,,,,,,,,,,,,,
HLA-C,CD3D,,,,,,,,,,,,,,,,,
HLA-C,CD3G,,,,,,,,,,,,,,,,,
HLA-C,DDR1,,,,,,,,,,,,,,,,,
HLA-C,KIR2DL1,10429675,9378975,11323700,10820396,11163076,12794140,11009104,12454284,9686591,9768753,,,,,,,
HLA-C,KIR2DL3,8692965,9768753,10497191,,,,,,,,,,,,,,
HLA-C,KIR2DS4,95,,,,,,,,,,,,,,,,
HLA-C,KIR3DL1,,,,,,,,,,,,,,,,,
HLA-C,LILRA3,,,,,,,,,,,,,,,,,
HLA-C,LILRB1,,,,,,,,,,,,,,,,,
HLA-C,LILRB2,,,,,,,,,,,,,,,,,
HLA-C,NOTCH4,,,,,,,,,,,,,,,,,
HLA-C,SLC9C2,,,,,,,,,,,,,,,,,
HLA-E,KIR3DL1,,,,,,,,,,,,,,,,,
HLA-E,KLRC1,,,,,,,,,,,,,,,,,
HLA-E,KLRC2,91,,,,,,,,,,,,,,,,
HLA-E,KLRD1,14734748,9815261,9486650,9886400,,,,,,,,,,,,,
HLA-E,SLC16A4,,,,,,,,,,,,,,,,,
HLA-G,CD4,,,,,,,,,,,,,,,,,
HLA-G,KIR2DL4,,,,,,,,,,,,,,,,,
HLA-G,KLRC1,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,93,,,,,,,,,,,,,,,,
HLA-G,LILRB1,9933109,12853576,12874224,,,,,,,,,,,,,,
HLA-G,LILRB2,9531263,10190906,,,,,,,,,,,,,,,
HMGB1,SDC1,,,,,,,,,,,,,,,,,
HMGB1,THBD,,,,,,,,,,,,,,,,,
HMGB1,TLR4,,,,,,,,,,,,,,,,,
HPX,LRP1,,,,,,,,,,,,,,,,,
HP,ASGR1,,,,,,,,,,,,,,,,,
HP,ASGR2,,,,,,,,,,,,,,,,,
HP,ITGAM,,,,,,,,,,,,,,,,,
HP,ITGB2,,,,,,,,,,,,,,,,,
HRAS,AGTR1,,,,,,,,,,,,,,,,,
HRAS,CAV1,,,,,,,,,,,,,,,,,
HRAS,GRIN2D,,,,,,,,,,,,,,,,,
HRAS,INSR,,,,,,,,,,,,,,,,,
HRAS,SDC2,,,,,,,,,,,,,,,,,
HRAS,TLR2,,,,,,,,,,,,,,,,,
HRAS,TLR9,,,,,,,,,,,,,,,,,
HRG,FCGR1A,,,,,,,,,,,,,,,,,
HSP90AA1,CFTR,,,,,,,,,,,,,,,,,
HSP90AA1,EGFR,,,,,,,,,,,,,,,,,
HSP90AA1,ERBB2,,,,,,,,,,,,,,,,,
HSP90AA1,FGFR3,,,,,,,,,,,,,,,,,
HSP90AA1,ITGB3,,,,,,,,,,,,,,,,,
HSP90B1,ASGR1,,,,,,,,,,,,,,,,,
HSP90B1,ERBB2,,,,,,,,,,,,,,,,,
HSP90B1,LRP1,,,,,,,,,,,,,,,,,
HSP90B1,TLR1,,,,,,,,,,,,,,,,,
HSP90B1,TLR2,,,,,,,,,,,,,,,,,
HSP90B1,TLR4,,,,,,,,,,,,,,,,,
HSP90B1,TLR7,,,,,,,,,,,,,,,,,
HSP90B1,TLR9,,,,,,,,,,,,,,,,,
HSPA1A,GRIN2D,,,,,,,,,,,,,,,,,
HSPA1A,TLR4,,,,,,,,,,,,,,,,,
HSPA8,ADRB2,,,,,,,,,,,,,,,,,
HSPA8,LDLR,,,,,,,,,,,,,,,,,
HSPA8,LRP2,,,,,,,,,,,,,,,,,
HSPG2,CHRM3,,,,,,,,,,,,,,,,,
HSPG2,COL13A1,,,,,,,,,,,,,,,,,
HSPG2,ITGA2,,,,,,,,,,,,,,,,,
HSPG2,ITGB1,,,,,,,,,,,,,,,,,
HSPG2,LRP1,,,,,,,,,,,,,,,,,
HSPG2,LRP2,,,,,,,,,,,,,,,,,
HSPG2,PTPRS,,,,,,,,,,,,,,,,,
HSPG2,SDC1,,,,,,,,,,,,,,,,,
IAPP,ADCYAP1R1,,,,,,,,,,,,,,,,,
IAPP,ADRB2,,,,,,,,,,,,,,,,,
IAPP,ADRB3,,,,,,,,,,,,,,,,,
IAPP,CALCR,9487987,10342886,,,,,,,,,,,,,,,
IAPP,GPR20,,,,,,,,,,,,,,,,,
IAPP,GPR84,,,,,,,,,,,,,,,,,
IAPP,PTH1R,,,,,,,,,,,,,,,,,
IAPP,RAMP1,,,,,,,,,,,,,,,,,
IAPP,RAMP2,,,,,,,,,,,,,,,,,
IAPP,RAMP3,,,,,,,,,,,,,,,,,
IAPP,TSHR,,,,,,,,,,,,,,,,,
IAPP,VIPR1,,,,,,,,,,,,,,,,,
IBSP,ITGAV,,,,,,,,,,,,,,,,,
IBSP,ITGB3,,,,,,,,,,,,,,,,,
ICAM1,CAV1,,,,,,,,,,,,,,,,,
ICAM1,EGFR,,,,,,,,,,,,,,,,,
ICAM1,IL2RA,,,,,,,,,,,,,,,,,
ICAM1,IL2RG,,,,,,,,,,,,,,,,,
ICAM1,ITGAL,,,,,,,,,,,,,,,,,
ICAM1,ITGAM,,,,,,,,,,,,,,,,,
ICAM1,ITGAX,,,,,,,,,,,,,,,,,
ICAM1,ITGB2,14507735,4062888,7642561,11279101,,,,,,,,,,,,,
ICAM2,ITGAL,,,,,,,,,,,,,,,,,
ICAM2,ITGAM,,,,,,,,,,,,,,,,,
ICAM2,ITGB2,15023143,98,,,,,,,,,,,,,,,
ICAM3,CLEC4M,,,,,,,,,,,,,,,,,
ICAM3,ITGAD,,,,,,,,,,,,,,,,,
ICAM3,ITGAL,11353828,15728350,,,,,,,,,,,,,,,
ICAM3,ITGB2,15728350,11353828,7822326,,,,,,,,,,,,,,
ICAM4,ITGA2B,,,,,,,,,,,,,,,,,
ICAM4,ITGA4,,,,,,,,,,,,,,,,,
ICAM4,ITGAL,,,,,,,,,,,,,,,,,
ICAM4,ITGAM,11,,,,,,,,,,,,,,,,
ICAM4,ITGAV,11,,,,,,,,,,,,,,,,
ICAM4,ITGB1,,,,,,,,,,,,,,,,,
ICAM4,ITGB2,15355350,11,,,,,,,,,,,,,,,
ICAM4,ITGB3,,,,,,,,,,,,,,,,,
ICAM4,RHAG,,,,,,,,,,,,,,,,,
ICAM5,ITGAL,9,,,,,,,,,,,,,,,,
ICAM5,ITGB2,9,,,,,,,,,,,,,,,,
ICOSLG,ICOS,,,,,,,,,,,,,,,,,
IFNA10,IFNAR1,,,,,,,,,,,,,,,,,
IFNA10,IFNAR2,,,,,,,,,,,,,,,,,
IFNA14,IFNAR1,,,,,,,,,,,,,,,,,
IFNA14,IFNAR2,,,,,,,,,,,,,,,,,
IFNA16,IFNAR1,,,,,,,,,,,,,,,,,
IFNA16,IFNAR2,,,,,,,,,,,,,,,,,
IFNA17,IFNAR1,,,,,,,,,,,,,,,,,
IFNA17,IFNAR2,,,,,,,,,,,,,,,,,
IFNA1,IFNAR1,11698684,79,,,,,,,,,,,,,,,
IFNA1,IFNAR2,,,,,,,,,,,,,,,,,
IFNA21,IFNAR1,,,,,,,,,,,,,,,,,
IFNA21,IFNAR2,,,,,,,,,,,,,,,,,
IFNA2,IFNAR1,,,,,,,,,,,,,,,,,
IFNA2,IFNAR2,12,,,,,,,,,,,,,,,,
IFNA4,IFNAR1,,,,,,,,,,,,,,,,,
IFNA4,IFNAR2,,,,,,,,,,,,,,,,,
IFNA5,IFNAR1,,,,,,,,,,,,,,,,,
IFNA5,IFNAR2,,,,,,,,,,,,,,,,,
IFNA6,IFNAR1,,,,,,,,,,,,,,,,,
IFNA6,IFNAR2,,,,,,,,,,,,,,,,,
IFNA7,IFNAR1,,,,,,,,,,,,,,,,,
IFNA7,IFNAR2,,,,,,,,,,,,,,,,,
IFNA8,IFNAR1,,,,,,,,,,,,,,,,,
IFNA8,IFNAR2,,,,,,,,,,,,,,,,,
IFNB1,IFNAR1,11278538,18,,,,,,,,,,,,,,,
IFNB1,IFNAR2,11278538,1,,,,,,,,,,,,,,,
IFNE,IFNAR1,,,,,,,,,,,,,,,,,
IFNE,IFNAR2,,,,,,,,,,,,,,,,,
IFNG,IFNGR1,10811850,12165521,10986460,11250200,,,,,,,,,,,,,
IFNG,IFNGR2,10811850,77,,,,,,,,,,,,,,,
IFNL1,IFNLR1,12974481,12,,,,,,,,,,,,,,,
IFNL1,IL10RB,,,,,,,,,,,,,,,,,
IFNL2,IFNLR1,12974481,12,,,,,,,,,,,,,,,
IFNL2,IL10RB,12974481,12,,,,,,,,,,,,,,,
IFNL3,IFNLR1,,,,,,,,,,,,,,,,,
IFNL3,IL10RB,12974481,12,,,,,,,,,,,,,,,
IFNW1,IFNAR1,11278538,18,,,,,,,,,,,,,,,
IFNW1,IFNAR2,,,,,,,,,,,,,,,,,
IGF1,IGF1R,HPMR,2877871,185,,,,,,,,,,,,,,
IGF1,IGF2R,,,,,,,,,,,,,,,,,
IGF1,INSR,,,,,,,,,,,,,,,,,
IGF2,IGF1R,reactome,9972281,,,,,,,,,,,,,,,
IGF2,IGF2R,2964083,7797478,9722981,,,,,,,,,,,,,,
IGF2,INSR,972,,,,,,,,,,,,,,,,
IGFBP4,FZD8,,,,,,,,,,,,,,,,,
IGFBP4,LRP6,,,,,,,,,,,,,,,,,
IGFL1,IGFLR1,,,,,,,,,,,,,,,,,
IGFL2,IGFLR1,,,,,,,,,,,,,,,,,
IGFL3,IGFLR1,,,,,,,,,,,,,,,,,
IHH,BOC,,,,,,,,,,,,,,,,,
IHH,CDON,,,,,,,,,,,,,,,,,
IHH,HHIP,11,,,,,,,,,,,,,,,,
IHH,PTCH1,98,,,,,,,,,,,,,,,,
IHH,PTCH2,,,,,,,,,,,,,,,,,
IL10,IL10RA,12974481,11485736,8248239,8897595,11717514,10231374,7759550,,,,,,,,,,
IL10,IL10RB,12974481,11485736,9312047,,,,,,,,,,,,,,
IL10,SIRPG,,,,,,,,,,,,,,,,,
IL11,IL11RA,10948192,7670098,10504396,,,,,,,,,,,,,,
IL11,IL6ST,,,,,,,,,,,,,,,,,
IL12A,CD28,,,,,,,,,,,,,,,,,
IL12A,IL12RB1,,,,,,,,,,,,,,,,,
IL12A,IL12RB2,,,,,,,,,,,,,,,,,
IL12B,IL12RB1,753,,,,,,,,,,,,,,,,
IL12B,IL12RB2,11086056,12,,,,,,,,,,,,,,,
IL12B,IL23R,,,,,,,,,,,,,,,,,
IL13,IL13RA1,12704343,11,,,,,,,,,,,,,,,
IL13,IL13RA2,12704343,11,,,,,,,,,,,,,,,
IL13,IL4R,12704343,12,,,,,,,,,,,,,,,
IL15,IL15RA,15265897,7641685,16284400,,,,,,,,,,,,,,
IL15,IL2RA,,,,,,,,,,,,,,,,,
IL15,IL2RB,8026467,9176231,,,,,,,,,,,,,,,
IL15,IL2RG,86,,,,,,,,,,,,,,,,
IL16,CCR5,,,,,,,,,,,,,,,,,
IL16,CD4,,,,,,,,,,,,,,,,,
IL16,GRIN2C,,,,,,,,,,,,,,,,,
IL16,GRIN2D,,,,,,,,,,,,,,,,,
IL16,KCNA3,,,,,,,,,,,,,,,,,
IL16,KCND1,,,,,,,,,,,,,,,,,
IL16,KCND2,,,,,,,,,,,,,,,,,
IL16,KCNJ10,,,,,,,,,,,,,,,,,
IL16,KCNJ15,,,,,,,,,,,,,,,,,
IL16,KCNJ4,,,,,,,,,,,,,,,,,
IL17A,IL17RA,9367539,,,,,,,,,,,,,,,,
IL17A,IL17RC,,,,,,,,,,,,,,,,,
IL17B,IL17RB,10749887,,,,,,,,,,,,,,,,
IL17C,IL17RE,,,,,,,,,,,,,,,,,
IL17F,IL17RA,,,,,,,,,,,,,,,,,
IL17F,IL17RC,,,,,,,,,,,,,,,,,
IL18,CD48,,,,,,,,,,,,,,,,,
IL18,IL18BP,,,,,,,,,,,,,,,,,
IL18,IL18R1,9325300,,,,,,,,,,,,,,,,
IL18,IL18RAP,,,,,,,,,,,,,,,,,
IL18,IL1RAPL1,,,,,,,,,,,,,,,,,
IL18,IL1RL2,,,,,,,,,,,,,,,,,
IL19,IL20RA,12974481,12,,,,,,,,,,,,,,,
IL19,IL20RB,,,,,,,,,,,,,,,,,
IL1A,IL1R1,2946959,,,,,,,,,,,,,,,,
IL1A,IL1R2,7878046,,,,,,,,,,,,,,,,
IL1A,IL1RAP,,,,,,,,,,,,,,,,,
IL1B,ADRB2,,,,,,,,,,,,,,,,,
IL1B,IL1R1,62193,9820540,9062193,,,,,,,,,,,,,,
IL1B,IL1R2,8332913,788,,,,,,,,,,,,,,,
IL1B,IL1RAP,,,,,,,,,,,,,,,,,
IL1F10,IL1R1,,,,,,,,,,,,,,,,,
IL1F10,IL1RL2,,,,,,,,,,,,,,,,,
IL1RN,IL1R1,,,,,,,,,,,,,,,,,
IL1RN,IL1R2,,,,,,,,,,,,,,,,,
IL1RN,IL1RL2,,,,,,,,,,,,,,,,,
IL20,IL20RA,12974481,11163236,12351624,14580208,,,,,,,,,,,,,
IL20,IL20RB,12974481,11163236,12351624,14580208,,,,,,,,,,,,,
IL20,IL22RA1,,,,,,,,,,,,,,,,,
IL21,IL21R,11418623,,,,,,,,,,,,,,,,
IL21,IL2RG,,,,,,,,,,,,,,,,,
IL22,IL10RA,,,,,,,,,,,,,,,,,
IL22,IL10RB,,,,,,,,,,,,,,,,,
IL22,IL21R,,,,,,,,,,,,,,,,,
IL22,IL22RA1,58985,11035,,,,,,,,,,,,,,,
IL22,IL22RA2,11390453,,,,,,,,,,,,,,,,
IL23A,IL12RB1,12023369,11114383,12023369,12671732,,,,,,,,,,,,,
IL23A,IL12RB2,,,,,,,,,,,,,,,,,
IL23A,IL23R,12023369,,,,,,,,,,,,,,,,
IL24,IL10RB,,,,,,,,,,,,,,,,,
IL24,IL20RA,12974481,12,,,,,,,,,,,,,,,
IL24,IL20RB,,,,,,,,,,,,,,,,,
IL24,IL22RA1,,,,,,,,,,,,,,,,,
IL25,IL17RB,11058597,,,,,,,,,,,,,,,,
IL26,IL10RB,,,,,,,,,,,,,,,,,
IL26,IL20RA,,,,,,,,,,,,,,,,,
IL27,IL27RA,,,,,,,,,,,,,,,,,
IL2,CD53,,,,,,,,,,,,,,,,,
IL2,GYPE,,,,,,,,,,,,,,,,,
IL2,IL2RA,15265897,2,,,,,,,,,,,,,,,
IL2,IL2RB,15265897,11035066,8049354,,,,,,,,,,,,,,
IL2,IL2RG,15265897,10662798,8049354,,,,,,,,,,,,,,
IL2,NGFR,,,,,,,,,,,,,,,,,
IL31,IL31RA,,,,,,,,,,,,,,,,,
IL31,OSMR,,,,,,,,,,,,,,,,,
IL33,IL1RL1,,,,,,,,,,,,,,,,,
IL34,CSF1R,,,,,,,,,,,,,,,,,
IL36A,IL1RL2,,,,,,,,,,,,,,,,,
IL36A,IL36RN,,,,,,,,,,,,,,,,,
IL36B,IL1RL2,,,,,,,,,,,,,,,,,
IL36B,IL36RN,,,,,,,,,,,,,,,,,
IL36G,IL1RL2,,,,,,,,,,,,,,,,,
IL36G,IL36RN,,,,,,,,,,,,,,,,,
IL3,CSF2RB,11700046,93,,,,,,,,,,,,,,,
IL3,IL3RA,fantom5,11700046,9278420,8649415,,,,,,,,,,,,,
IL4,CD53,,,,,,,,,,,,,,,,,
IL4,IL13RA1,,,,,,,,,,,,,,,,,
IL4,IL13RA2,,,,,,,,,,,,,,,,,
IL4,IL2RG,827,,,,,,,,,,,,,,,,
IL4,IL4R,7918378,118,,,,,,,,,,,,,,,
IL5,CSF2RB,,,,,,,,,,,,,,,,,
IL5,IL5RA,HPRD,11748263,1732409,7721873,10880230,,,,,,,,,,,,
IL6,F3,,,,,,,,,,,,,,,,,
IL6,IL6R,3136546,14557255,12829785,,,,,,,,,,,,,,
IL6,IL6ST,8293462,3136546,14557255,,,,,,,,,,,,,,
IL7,IL2RG,11858939,9010926,,,,,,,,,,,,,,,
IL7,IL7R,7522165,11858939,10390077,,,,,,,,,,,,,,
IL8,CD79A,,,,,,,,,,,,,,,,,
IL8,CXCR1,8137938,1379593,10188995,15946947,8940121,15282370,1840701,,,,,,,,,,
IL8,CXCR2,11511101),1379593,10188995,15946947,8940121,15282370,9464567,8702798,8626516,,,,,,,,
IL8,ACKR1,,,,,,,,,,,,,,,,,
IL8,KDR,,,,,,,,,,,,,,,,,
IL8,SDC1,,,,,,,,,,,,,,,,,
IL8,SDC2,,,,,,,,,,,,,,,,,
IL8,SDC3,,,,,,,,,,,,,,,,,
IL9,IL2RG,,,,,,,,,,,,,,,,,
IL9,IL9R,9535918,116,,,,,,,,,,,,,,,
INHA,ACVR2A,,,,,,,,,,,,,,,,,
INHA,ACVR2B,,,,,,,,,,,,,,,,,
INHA,ACVR1,,,,,,,,,,,,,,,,,
INHA,TGFBR3,11,,,,,,,,,,,,,,,,
INHBA,ACVR1,,,,,,,,,,,,,,,,,
INHBA,ACVR1B,84,,,,,,,,,,,,,,,,
INHBA,ACVR2A,11,,,,,,,,,,,,,,,,
INHBA,ACVR2B,,,,,,,,,,,,,,,,,
INHBA,BAMBI,,,,,,,,,,,,,,,,,
INHBA,ENG,,,,,,,,,,,,,,,,,
INHBA,SMAD3,,,,,,,,,,,,,,,,,
INHBA,TGFBR3,,,,,,,,,,,,,,,,,
INHBB,ACVR1,,,,,,,,,,,,,,,,,
INHBB,ACVR1B,15196700,,,,,,,,,,,,,,,,
INHBB,ACVR1C,,,,,,,,,,,,,,,,,
INHBB,ACVR2A,11,,,,,,,,,,,,,,,,
INHBB,ACVR2B,,,,,,,,,,,,,,,,,
INHBB,SMAD3,,,,,,,,,,,,,,,,,
INHBC,ACVR1,,,,,,,,,,,,,,,,,
INHBC,ACVR1B,,,,,,,,,,,,,,,,,
INHBC,ACVR2A,,,,,,,,,,,,,,,,,
INHBC,ACVR2B,,,,,,,,,,,,,,,,,
INHBE,ACVR2B,,,,,,,,,,,,,,,,,
INHBE,ACVR2B,,,,,,,,,,,,,,,,,
INHBE,ACVR2B,,,,,,,,,,,,,,,,,
INHBE,ACVR2B,,,,,,,,,,,,,,,,,
INSL3,ADCYAP1R1,,,,,,,,,,,,,,,,,
INSL3,ADRB2,,,,,,,,,,,,,,,,,
INSL3,ADRB3,,,,,,,,,,,,,,,,,
INSL3,GPR20,,,,,,,,,,,,,,,,,
INSL3,GPR84,,,,,,,,,,,,,,,,,
INSL3,PTH1R,,,,,,,,,,,,,,,,,
INSL3,RAMP2,,,,,,,,,,,,,,,,,
INSL3,RAMP3,,,,,,,,,,,,,,,,,
INSL3,RXFP2,12114498,15649866,20560146,15649866,,,,,,,,,,,,,
INSL3,TSHR,,,,,,,,,,,,,,,,,
INSL3,VIPR1,,,,,,,,,,,,,,,,,
INSL5,ADRA2A,,,,,,,,,,,,,,,,,
INSL5,GRM7,,,,,,,,,,,,,,,,,
INSL5,MTNR1A,,,,,,,,,,,,,,,,,
INSL5,RXFP3,,,,,,,,,,,,,,,,,
INSL5,RXFP4,16,,,,,,,,,,,,,,,,
INS,IGF1R,,,,,,,,,,,,,,,,,
INS,INSR,fantom5,2550426,,,,,,,,,,,,,,,
INS,LRP2,,,,,,,,,,,,,,,,,
IRAK4,TLR4,,,,,,,,,,,,,,,,,
IRAK4,TLR6,,,,,,,,,,,,,,,,,
IRAK4,TLR7,,,,,,,,,,,,,,,,,
ITGB3BP,ITGB3,,,,,,,,,,,,,,,,,
ITGB3BP,ITGB5,,,,,,,,,,,,,,,,,
ITIH2,FCER1A,,,,,,,,,,,,,,,,,
JAG1,NOTCH1,7697721,11,,,,,,,,,,,,,,,
JAG1,NOTCH2,10551863,11,,,,,,,,,,,,,,,
JAG1,NOTCH3,11006133,14714274,12482954,,,,,,,,,,,,,,
JAG1,NOTCH4,,,,,,,,,,,,,,,,,
JAG2,NOTCH1,11006133,,,,,,,,,,,,,,,,
JAG2,NOTCH2,,,,,,,,,,,,,,,,,
JAG2,NOTCH3,11006133,,,,,,,,,,,,,,,,
JAG2,NOTCH4,,,,,,,,,,,,,,,,,
JAM3,ITGB1,,,,,,,,,,,,,,,,,
JAM3,ITGB2,,,,,,,,,,,,,,,,,
KISS1,KISS1R,12944565,11385580,15665093,11385580,11457843,11457843,,,,,,,,,,,
KISS1,MMP24,,,,,,,,,,,,,,,,,
KITLG,EPOR,,,,,,,,,,,,,,,,,
KITLG,KIT,1698556,1375232,7680037,,,,,,,,,,,,,,
KLK3,EPOR,,,,,,,,,,,,,,,,,
KNG1,ADRA2A,,,,,,,,,,,,,,,,,
KNG1,BDKRB1,9111052,10422787,9313952,,,,,,,,,,,,,,
KNG1,BDKRB2,8302267,9203620,,,,,,,,,,,,,,,
KNG1,CD93,,,,,,,,,,,,,,,,,
KNG1,GP1BA,,,,,,,,,,,,,,,,,
KNG1,GPR135,,,,,,,,,,,,,,,,,
KNG1,GRM7,,,,,,,,,,,,,,,,,
KNG1,ITGAM,,,,,,,,,,,,,,,,,
KNG1,ITGB2,,,,,,,,,,,,,,,,,
KNG1,MTNR1A,,,,,,,,,,,,,,,,,
KNG1,PLAUR,,,,,,,,,,,,,,,,,
KNG1,RXFP4,,,,,,,,,,,,,,,,,
KNG1,SDC2,,,,,,,,,,,,,,,,,
KRTAP4-12,AQP1,,,,,,,,,,,,,,,,,
KRTAP4-12,CATSPER1,,,,,,,,,,,,,,,,,
KRTAP4-12,CLDN2,,,,,,,,,,,,,,,,,
KRTAP4-12,CNTFR,,,,,,,,,,,,,,,,,
KRTAP4-12,LINGO1,,,,,,,,,,,,,,,,,
KRTAP4-12,PDGFRB,,,,,,,,,,,,,,,,,
KRTAP4-12,PLSCR4,,,,,,,,,,,,,,,,,
L1CAM,CNTN1,,,,,,,,,,,,,,,,,
L1CAM,EGFR,,,,,,,,,,,,,,,,,
L1CAM,EPHB2,,,,,,,,,,,,,,,,,
L1CAM,ERBB2,,,,,,,,,,,,,,,,,
